順位	No.	総合記録	スイム	バイク	ラン	氏名	フリガナ	年齢
43	47	1:53:20	0:26:32	1:02:25	0:24:23	松本 晃	ﾏﾂﾓﾄ ｱｷﾗ	30
44	97	1:53:39	0:23:05	1:05:18	0:25:16	井上 泰三	ｲﾉｳｴ ﾀｲｿﾞｳ	45
45	77	1:54:07	0:29:46	1:08:43	0:15:38	奥田 宏	ｵｸﾀﾞ ﾋﾛｼ	47
46	13	1:55:34	0:25:34	1:04:09	0:25:51	森脇 匠哉	ﾓﾘﾜｷ ﾀｸﾔ	27
47	53	1:55:51	0:31:52	0:59:33	0:24:26	尾崎 弘和	ｵｻﾞｷ ﾋﾛｶｽﾞ	35
48	139	1:56:10	0:24:42	1:06:36	0:24:52	野場 尚	ﾉﾊﾞ ﾀｶｼ	60
49	39	1:57:14	0:27:24	1:04:32	0:25:18	石崎 義康	ｲｼｻﾞｷ ﾖｼﾔｽ	37
50	203	1:57:25	0:26:18	1:02:00	0:29:07	上西 綾子	ｳｴﾆｼ ｱﾔｺ	37
51	33	1:57:53	0:28:04	1:02:12	0:27:37	野尻 秋宏	ﾉｼﾞﾘ ｱｷﾋﾛ	36
52	143	1:58:44	0:22:47	1:08:51	0:27:06	三谷 光雄	ﾐﾀﾆ ﾐﾂｵ	66
53	141	1:58:53	0:29:45	1:04:36	0:24:32	尼崎 佳三	ｱﾏｻｷ ﾖｼｿﾞｳ	63
54	93	1:59:00	0:30:52	1:01:04	0:27:04	中谷 幸浩	ﾅｶﾀﾆ ﾕｷﾋﾛ	41
55	209	1:59:22	0:31:16	1:01:44	0:26:22	門田 芳恵	ﾓﾝﾃﾞﾝ ﾖｼｴ	42
56	34	1:59:36	0:28:38	1:04:03	0:26:55	彦坂 達也	ﾋｺｻｶ ﾀﾂﾔ	36
57	27	1:59:41	0:26:25	1:02:58	0:30:18	岸江 健司	ｷｼｴ ｹﾝｼﾞ	33
58	111	1:59:53	0:29:11	1:06:40	0:24:02	中田 博之	ﾅｶﾀ ﾋﾛﾕｷ	51
59	7	1:59:55	0:30:37	1:04:04	0:25:14	松島 弘晃	ﾏﾂｼﾏ ﾋﾛｱｷ	28
60	6	1:59:57	0:26:30	1:09:15	0:24:12	安東 大輝	ｱﾝﾄﾞｳ ﾋﾛｷ	25
61	89	2:00:22	0:28:43	1:07:23	0:24:16	須方 崇夫	ｽｶﾞﾀ ﾀｶｵ	42
62	96	2:01:31	0:32:53	1:05:08	0:23:30	白川 靖樹	ｼﾗｶﾜ ｾｲｼﾞｭ	44
63	126	2:01:49	0:27:00	1:09:53	0:24:56	小田 哲靖	ｵﾀﾞ ﾉﾘﾔｽ	57
64	30	2:02:04	0:25:07	1:06:19	0:30:38	津島 賢一朗	ﾂｼﾏ ｹﾝｲﾁﾛｳ	34
65	104	2:02:12	0:27:48	1:08:38	0:25:46	宗形 充弘	ﾑﾅｶﾀ ﾐﾂﾋﾛ	41
66	37	2:02:19	0:29:17	1:04:16	0:28:46	穀内 康人	ｺｸﾅｲ ﾔｽﾋﾄ	37
67	90	2:02:20	0:25:59	1:04:26	0:31:55	松島 弘樹	ﾏﾂｼﾏ ﾋﾛｷ	46
68	92	2:02:22	0:28:56	1:07:59	0:25:27	堀江 智	ﾎﾘｴ ｻﾄｼ	41
69	112	2:02:28	0:28:02	1:04:30	0:29:56	吉田 悠	ﾖｼﾀﾞ ﾕｳ	52
70	99	2:02:45	0:30:20	1:09:14	0:23:11	中野 剛志	ﾅｶﾉ ﾂﾖｼ	46
71	83	2:02:45	0:25:15	1:11:21	0:26:09	山路 斉	ﾔﾏｼﾞ ﾋﾄｼ	48
72	103	2:02:57	0:27:21	1:00:43	0:34:53	村尾 裕二	ﾑﾗｵ ﾕｳｼﾞ	49
73	116	2:03:27	0:29:41	1:04:12	0:29:34	白川 満	ｼﾗｶﾜ ﾐﾂﾙ	54
74	206	2:04:10	0:32:20	1:04:40	0:27:10	森本 千晶	ﾓﾘﾓﾄ ﾁｱｷ	32
75	14	2:04:14	0:27:59	0:59:17	0:36:58	東川 純也	ｱｽﾞﾏｶﾞﾜ ｼﾞｭﾝﾔ	27
76	118	2:04:56	0:33:02	1:05:41	0:26:13	山本 義夫	ﾔﾏﾓﾄ ﾖｼｵ	56
77	102	2:05:07	0:28:11	1:05:43	0:31:13	長谷川 誠治	ﾊｾｶﾞﾜ ｾｲｼﾞ	49
78	36	2:05:42	0:27:30	1:03:38	0:34:34	礒田 健太郎	ｲｿﾀﾞ ｹﾝﾀﾛｳ	37
79	70	2:06:00	0:33:48	1:04:52	0:27:20	谷口 謙一	ﾀﾆｸﾞﾁ ｹﾝｲﾁ	44
80	54	2:06:10	0:28:01	1:07:38	0:30:31	江坂 洋亮	ｴｻｶ ﾖｳｽｹ	35
81	115	2:06:17	0:31:01	1:03:08	0:32:08	齋藤 和孝	ｻｲﾄｳ ｶｽﾞﾀｶ	53
82	129	2:06:18	0:29:08	1:05:18	0:31:52	松本 昭雄	ﾏﾂﾓﾄ ｱｷｵ	60
83	87	2:06:21	0:31:56	1:08:43	0:25:42	志方 達哉	ｼｶﾀ ﾀﾂﾔ	41
84	63	2:06:28	0:31:33	1:07:47	0:27:08	梶原 浩二	ｶｼﾞﾊﾗ ｺｳｼﾞ	40
85	5	2:06:50	0:26:45	1:07:16	0:32:49	山内 遼平	ﾔﾏｳﾁ ﾘｮｳﾍｲ	22
86	121	2:07:18	0:29:24	1:12:40	0:25:14	山嵜 清張	ﾔﾏｻｷ ｷﾖﾊﾘ	54
87	55	2:07:24	0:29:51	1:09:18	0:28:15	西川 勇人	ﾆｼｶﾜ ﾊﾔﾄ	37
88	9	2:08:03	0:32:06	1:06:14	0:29:43	水口 勝貴	ﾐｽﾞｸﾞﾁ ｶﾂｷ	25
89	125	2:08:15	0:32:31	1:09:09	0:26:35	香西 祥次	ｺｳｻﾞｲ ｼｮｳｼﾞ	50
90	123	2:08:26	0:28:21	1:11:16	0:28:49	佐藤 誠	ｻﾄｳ ﾏｺﾄ	57
91	101	2:08:34	0:37:36	1:06:13	0:24:45	藤井 裕昭	ﾌｼﾞｲ ﾋﾛｱｷ	49
92	208	2:09:24	0:32:56	1:09:54	0:26:34	飯尾 圭子	ｲｲｵ ｹｲｺ	46
93	23	2:09:44	0:25:30	1:13:43	0:30:31	保坂 亮平	ﾎｻｶ ﾘｮｳﾍｲ	32
94	130	2:09:54	0:21:20	1:08:15	0:40:19	深坂 健太郎	ﾌｶｻｶ ｹﾝﾀﾛｳ	60
95	65	2:10:00	0:33:12	1:12:06	0:24:42	永田 昌之	ﾅｶﾞﾀ ﾏｻﾕｷ	41
96	137	2:10:04	0:33:42	1:08:41	0:27:41	中西 啓一	ﾅｶﾆｼ ｹｲｲﾁ	70
97	147	2:10:11	0:31:08	1:06:50	0:32:13	平崎 毅	ﾋﾗｻｷ ﾀｹｼ	60
98	207	2:10:15	0:29:07	1:13:07	0:28:01	小西 尚美	ｺﾆｼ ﾅｵﾐ	49
99	140	2:10:28	0:29:45	1:12:39	0:28:04	桶本 幸見	ｵｹﾓﾄ ﾕｷﾐ	61
100	134	2:10:39	0:29:30	1:10:42	0:30:27	谷口 博志	ﾀﾆｸﾞﾁ ﾋﾛｼ	67
101	127	2:11:11	0:26:40	1:16:12	0:28:19	廣瀬 浩司	ﾋﾛｾ ｺｳｼﾞ	58
102	131	2:11:27	0:24:57	1:12:07	0:34:23	森脇 幹夫	ﾓﾘﾜｷ ﾐｷｵ	61
103	35	2:11:30	0:27:40	1:08:09	0:35:41	青木 伸也	ｱｵｷ ｼﾝﾔ	37
104	56	2:12:03	0:36:09	1:07:10	0:28:44	小倉 飛鳥	ｵｸﾞﾗ ｱｽｶ	37
105	69	2:12:44	0:31:18	1:08:22	0:33:04	大辻 裕一	ｵｵﾂｼﾞ ﾕｳｲﾁ	44
106	2	2:13:12	0:32:45	1:12:20	0:28:07	森園 航大	ﾓﾘｿﾞﾉ ｺｳﾀﾞｲ	19
107	136	2:13:27	0:31:08	1:09:52	0:32:27	松岡 幸男	ﾏﾂｵｶ ﾕｷｵ	70
108	128	2:14:25	0:21:48	1:14:20	0:38:17	牛島 哲	ｳｼｼﾞﾏ ｻﾄﾙ	52
109	148	2:14:25	0:30:03	1:10:34	0:33:48	宮下 孝司	ﾐﾔｼﾀ ﾀｶｼ	68
110	108	2:14:59	0:34:10	1:09:45	0:31:04	薗田 正彦	ｿﾉﾀﾞ ﾏｻﾋｺ	51
111	86	2:15:00	0:29:29	1:14:00	0:31:31	松本 孝史	ﾏﾂﾓﾄ ﾀｶｼ	40
112	146	2:15:43	0:34:01	1:11:27	0:30:15	門場 靖司	ｶﾄﾞﾊﾞ ﾔｽｼ	61
113	85	2:16:12	0:31:45	1:12:20	0:32:07	岩井 宏明	ｲﾜｲ ﾋﾛｱｷ	40
114	8	2:16:22	0:38:33	1:09:09	0:28:40	竹井 智洋	ﾀｹｲ ﾁﾋﾛ	29
115	17	2:17:06	0:36:42	1:13:14	0:27:10	上村 祐樹	ｶﾐﾑﾗ ﾕｳｷ	23
116	211	2:17:53	0:36:27	1:15:31	0:25:55	三木 ひろみ	ﾐｷ ﾋﾛﾐ	50
117	138	2:18:11	0:29:06	1:12:24	0:36:41	吉川 一義	ﾖｼｶﾜ ｶｽﾞﾖｼ	60
118	80	2:18:17	0:31:59	1:17:47	0:28:31	杉本 太一	ｽｷﾞﾓﾄ ﾀｲﾁ	48
119	4	2:18:25	0:37:53	1:09:47	0:30:45	香井 裕大郎	ｶｲ ﾕｳﾀﾛｳ	20
120	145	2:19:15	0:24:27	1:11:50	0:42:58	杉本 良太郎	ｽｷﾞﾓﾄ ﾘｮｳﾀﾛｳ	78
121	44	2:19:19	0:39:15	1:10:34	0:29:30	中野 朋一	ﾅｶﾉ ﾄﾓｶｽﾞ	35
122	24	2:20:31	0:31:51	1:12:23	0:36:17	井手 裕之	ｲﾃﾞ ﾋﾛﾕｷ	32
123	205	2:20:48	0:32:42	1:14:00	0:34:06	弓狩 加代子	ﾕｶﾘ ｶﾖｺ	39
124	84	2:21:32	0:36:36	1:12:07	0:32:49	二井 靖之	ﾌﾀﾂｲ ﾔｽﾕｷ	49
125	117	2:21:37	0:28:26	1:09:30	0:43:41	湊 康行	ﾐﾅﾄ ﾔｽﾕｷ	54
126	59	2:21:53	0:29:29	1:20:59	0:31:25	森池 哲也	ﾓﾘｲｹ ﾃﾂﾔ	39
127	144	2:22:47	0:33:54	1:18:22	0:30:31	佐藤 有一	ｻﾄｳ ﾕｳｲﾁ	68
128	72	2:23:41	0:35:23	1:19:00	0:29:18	田中 隆之	ﾀﾅｶ ﾀｶﾕｷ	44
129	204	2:23:45	0:41:15	1:11:51	0:30:39	齊藤 けい	ｻｲﾄｳ ｹｲ	38
130	41	2:25:00	0:41:56	1:11:46	0:31:18	高生 純	ﾀｶﾊｴ ｼﾞｭﾝ	30
131	135	2:25:41	0:28:56	1:22:23	0:34:22	卯田 幸男	ｳﾀﾞ ﾕｷｵ	68
132	213	2:25:55	0:37:22	1:13:07	0:35:26	田中 敏子	ﾀﾅｶ ﾄｼｺ	68
133	71	2:27:11	0:34:59	1:10:31	0:41:41	加田 隆裕	ｶﾀﾞ ﾀｶﾋﾛ	44
134	120	2:28:46	0:33:35	1:13:42	0:41:29	前田 亨	ﾏｴﾀﾞ ﾄｵﾙ	52
135	113	2:29:43	0:27:58	1:34:57	0:26:48	嶋田 一幸	ｼﾏﾀﾞ ｶｽﾞﾕｷ	52
136	45	2:30:45	0:35:08	1:18:40	0:36:57	垣内 壮太	ｶｷｳﾁ ｿｳﾀ	36
137	51	2:31:45	0:43:35	1:15:32	0:32:38	難波 竜太郎	ﾅﾝﾊﾞ ﾘｭｳﾀﾛｳ	34
138	98	2:32:31	0:36:02	1:23:21	0:33:08	橋本 哲也	ﾊｼﾓﾄ ﾃﾂﾔ	46
139	202	2:32:31	0:36:03	1:23:20	0:33:08	橋本 実梨	ﾊｼﾓﾄ ﾐﾉﾘ	19
140	61	2:35:16	0:40:13	1:22:40	0:32:23	中崎 一平	ﾅｶｻｷ ｲｯﾍﾟｲ	40
141	210	2:37:41	0:33:20	1:18:11	0:46:10	湊 恵美	ﾐﾅﾄ ｴﾐ	50
142	26	2:40:50	0:42:45	1:20:52	0:37:13	岸川 翔	ｷｼｶﾞﾜ ｼｮｳ	33
143	212	2:42:13	0:34:35	1:31:02	0:36:36	平岡 玲子	ﾋﾗｵｶ ﾚｲｺ	61
144	142	3:03:25	0:40:41	1:32:53	0:49:51	斎藤 秀司	ｻｲﾄｳ ﾋﾃﾞｼﾞ	63
