順位	氏名	フリガナ	№	年齢	総合記録	スイム	バイク	ラン
26	荒木 力	ｱﾗｷ ﾁｶﾗ	83	49	1:48:14	0:25:35	0:59:38	0:23:01
27	古郷 真吾	ｺｺﾞｳ ｼﾝｺﾞ	102	42	1:48:33	0:26:18	0:59:38	0:22:37
28	中野 彰久	ﾅｶﾉ ｱｷﾋｻ	46	46	1:48:34	0:26:33	1:00:03	0:21:58
29	永松 慶子	ﾅｶﾞﾏﾂ ｹｲｺ	185	42	1:48:47	0:23:50	1:01:06	0:23:51
30	辻花 誠	ﾂｼﾞﾊﾅ ﾏｺﾄ	41	47	1:49:03	0:22:15	1:02:12	0:24:36
31	中山 工	ﾅｶﾔﾏ ﾀｸﾐ	66	53	1:50:01	0:30:52	0:58:38	0:20:31
32	松村 珠未	ﾏﾂﾑﾗ ﾀﾏﾐ	190	36	1:50:08	0:23:51	1:02:54	0:23:23
33	辻 哲也	ﾂｼﾞ ﾃﾂﾔ	106	42	1:51:19	0:23:55	1:01:00	0:26:24
34	成田 邦夫	ﾅﾘﾀ ｸﾆｵ	100	43	1:51:28	0:22:39	0:58:01	0:30:48
35	山嵜 清張	ﾔﾏｻｷ ｷﾖﾊﾘ	2	59	1:52:09	0:25:10	1:02:31	0:24:28
36	嶋田 一幸	ｼﾏﾀﾞ ｶｽﾞﾕｷ	1	57	1:52:57	0:26:03	1:00:40	0:26:14
37	三島 和紀	ﾐｼﾏ ｶｽﾞﾉﾘ	92	30	1:53:30	0:20:32	1:05:33	0:27:25
38	竹林 潤治	ﾀｹﾊﾞﾔｼ ｼﾞｭﾝｼﾞ	79	59	1:53:35	0:25:42	1:03:36	0:24:17
39	池田 和史	ｲｹﾀﾞ ｶｽﾞｼ	29	58	1:54:03	0:24:53	1:04:33	0:24:37
40	石田 公郎	ｲｼﾀﾞ ｷﾐｵ	95	48	1:54:37	0:29:34	1:02:42	0:22:21
41	福岡 秀夫	ﾌｸｵｶ ﾋﾃﾞｵ	33	65	1:54:39	0:23:43	1:02:04	0:28:52
42	後藤 和哉	ｺﾞﾄｳ ｶｽﾞﾔ	7	35	1:54:45	0:28:47	1:03:04	0:22:54
43	重山 芳子	ｼｹﾞﾔﾏ ﾖｼｺ	184	43	1:55:02	0:28:30	1:02:45	0:23:47
44	池田 雅一	ｲｹﾀﾞ ﾏｻｶｽﾞ	69	58	1:55:19	0:27:54	0:57:19	0:30:06
45	青木 伸也	ｱｵｷ ｼﾝﾔ	42	43	1:55:22	0:24:10	1:05:35	0:25:37
46	法田 哲	ﾎｳﾀﾞ ｻﾄｼ	53	41	1:55:48	0:25:07	1:03:52	0:26:49
47	山本 忠孝	ﾔﾏﾓﾄ ﾀﾀﾞﾖｼ	110	28	1:56:14	0:26:58	0:59:06	0:30:10
48	宮成 諭明	ﾐﾔﾅﾘ ﾄｼﾋﾛ	39	33	1:56:28	0:28:22	1:00:20	0:27:46
49	清水 絢子	ｼﾐｽﾞ ｼﾞｭﾝｺ	183	46	1:56:52	0:24:09	1:04:36	0:28:07
50	伏見 智久	ﾌｼﾐ ﾄﾓﾋｻ	75	54	1:57:07	0:27:02	1:05:37	0:24:28
51	野場 尚	ﾉﾊﾞ ﾀｶｼ	70	65	1:57:30	0:24:37	1:07:53	0:25:00
52	岸田 康平	ｷｼﾀﾞ ｺｳﾍｲ	32	32	1:57:36	0:29:15	1:05:44	0:22:37
53	大野 雅弘	ｵｵﾉ ﾏｻﾋﾛ	24	43	1:57:42	0:23:53	1:03:52	0:29:57
54	大橋 拓馬	ｵｵﾊｼ ﾀｸﾏ	47	40	1:58:05	0:24:45	1:03:58	0:29:22
55	大原 憲二	ｵｵﾊﾗ ｹﾝｼﾞ	64	48	1:58:10	0:28:27	1:05:54	0:23:49
56	藤本 侑平	ﾌｼﾞﾓﾄ ﾕｳﾍｲ	60	19	1:58:19	0:20:36	1:04:27	0:33:16
57	内藤 大敬	ﾅｲﾄｳ ﾋﾛﾀｶ	90	26	1:58:59	0:29:58	1:03:22	0:25:39
58	福岡 拓弥	ﾌｸｵｶ ﾀｸﾔ	6	32	1:59:16	0:28:48	1:06:17	0:24:11
59	吉益 正博	ﾖｼﾏｽ ﾏｻﾋﾛ	5	61	1:59:40	0:24:40	1:01:38	0:33:22
60	井上 剛	ｲﾉｳｴ ﾂﾖｼ	13	52	1:59:54	0:27:46	1:08:27	0:23:41
61	大島 伸彦	ｵｵｼﾏ ﾉﾌﾞﾋｺ	44	45	2:00:06	0:27:01	1:05:09	0:27:56
62	貴治 優眞	ｷｼﾞ ﾕｳﾏ	12	31	2:00:20	0:35:02	1:01:28	0:23:50
63	藤田 翔	ﾌｼﾞﾀ ｼｮｳ	121	31	2:00:33	0:27:26	1:01:17	0:31:50
64	原 聖雅	ﾊﾗ ｷﾖﾏｻ	72	68	2:01:00	0:27:06	1:05:20	0:28:34
65	山田 幹太	ﾔﾏﾀﾞ ｶﾝﾀ	37	18	2:01:12	0:31:18	1:00:54	0:29:00
66	辻 啓至	ﾂｼﾞ ﾋﾛｼ	30	59	2:01:20	0:22:57	1:11:59	0:26:24
67	佐伯 孝治	ｻｴｷ ﾀｶﾊﾙ	78	49	2:02:00	0:29:14	1:07:14	0:25:32
68	室谷 彰宏	ﾑﾛﾀﾆ ｱｷﾋﾛ	31	48	2:02:33	0:33:09	1:02:18	0:27:06
69	長濵 昇紀	ﾅｶﾞﾊﾏ ｼｮｳｷ	52	23	2:02:35	0:31:57	1:02:13	0:28:25
70	小澤 公宏	ｵｻﾞﾜ ﾏｻﾋﾛ	88	46	2:02:35	0:32:14	1:04:56	0:25:25
71	光嶋 太郎	ﾐﾂｼﾏ ﾀﾛｳ	35	55	2:02:49	0:31:20	1:04:45	0:26:44
72	本間 司門	ﾎﾝﾏ ｼﾓﾝ	62	24	2:02:58	0:28:11	1:03:12	0:31:35
73	尼崎 佳三	ｱﾏｻｷ ﾖｼｿﾞｳ	98	68	2:03:14	0:30:24	1:10:29	0:22:21
74	井ノ上 徹	ｲﾉｳｴ ﾄｵﾙ	28	32	2:03:32	0:31:02	1:07:10	0:25:20
75	滝本 一也	ﾀｷﾓﾄ ｶｽﾞﾔ	122	51	2:03:38	0:26:24	1:07:39	0:29:35
76	柴田 嘉宏	ｼﾊﾞﾀ ﾖｼﾋﾛ	119	51	2:03:43	0:30:01	1:05:29	0:28:13
77	水巻 宏之	ﾐｽﾞﾏｷ ﾋﾛﾕｷ	86	47	2:03:52	0:36:09	1:08:26	0:19:17
78	松本 泰典	ﾏﾂﾓﾄ ﾔｽﾉﾘ	58	62	2:04:10	0:30:34	1:06:40	0:26:56
79	成田 煌河	ﾅﾘﾀ ｺｳｶﾞ	101	16	2:04:17	0:31:04	0:59:20	0:33:53
80	小田 俊明	ｵﾀﾞ ﾄｼｱｷ	57	47	2:04:33	0:29:03	1:04:12	0:31:18
81	長門 剛史	ﾅｶﾞﾄ ﾀｶﾌﾐ	14	33	2:04:36	0:30:38	1:10:37	0:23:21
82	土持 航	ﾂﾁﾓﾁ ﾜﾀﾙ	105	43	2:04:48	0:30:26	0:59:17	0:35:05
83	坂上 具子	ｻｶｶﾞﾐ ﾄﾓｺ	192	53	2:04:55	0:27:44	1:09:54	0:27:17
84	中 善成	ﾅｶ ﾖｼﾅﾘ	94	39	2:05:19	0:25:09	1:08:56	0:31:14
85	佐藤 悠貴	ｻﾄｳ ﾕｳｷ	51	35	2:06:09	0:32:05	1:13:31	0:20:33
86	村上 裕之	ﾑﾗｶﾐ ﾋﾛﾕｷ	99	43	2:06:36	0:29:33	1:07:15	0:29:48
87	奥田 抄子	ｵｸﾀﾞ ｼｮｳｺ	191	31	2:06:43	0:23:06	1:12:42	0:30:55
88	谷口 進也	ﾀﾆｸﾞﾁ ｼﾝﾔ	104	50	2:06:48	0:32:53	1:03:30	0:30:25
89	岡本 雅史	ｵｶﾓﾄ ﾏｻｼ	63	45	2:07:01	0:30:32	1:10:33	0:25:56
90	深坂 健太郎	ﾌｶｻｶ ｹﾝﾀﾛｳ	3	65	2:07:46	0:21:44	1:08:07	0:37:55
91	畠中 登	ﾊﾀﾅｶ ﾉﾎﾞﾙ	18	56	2:08:11	0:31:32	1:09:25	0:27:14
92	林 太久郎	ﾊﾔｼ ﾀｸﾛｳ	103	40	2:08:14	0:30:31	1:06:37	0:31:06
93	今永 雅人	ｲﾏﾅｶﾞ ﾏｻﾄ	9	46	2:08:29	0:33:46	1:12:12	0:22:31
94	金岡 拓哉	ｶﾅｵｶ ﾀｸﾔ	112	33	2:08:34	0:31:06	1:06:38	0:30:50
95	田中 裕	ﾀﾅｶ ﾕﾀｶ	21	29	2:08:53	0:30:49	1:08:35	0:29:29
96	井上 佳英	ｲﾉｳｴ ﾖｼﾋﾃﾞ	19	31	2:09:05	0:22:59	1:06:51	0:39:15
97	大西 良夫	ｵｵﾆｼ ﾖｼｵ	114	53	2:09:30	0:36:03	1:06:18	0:27:09
98	松内 美幸	ﾏﾂｳﾁ ﾐﾕｷ	193	42	2:10:00	0:31:00	1:06:38	0:32:22
99	松下 賢一郎	ﾏﾂｼﾀ ｹﾝｲﾁﾛｳ	65	54	2:10:17	0:42:00	0:57:27	0:30:50
100	乾 睦良	ｲﾇｲ ﾁｶﾗ	67	19	2:10:50	0:27:40	1:12:47	0:30:23
101	河口 智博	ｶﾜｸﾞﾁ ﾄﾓﾋﾛ	109	53	2:11:00	0:24:48	1:12:12	0:34:00
102	梅田 雄守	ｳﾒﾀﾞ ｶｽﾞﾏ	48	22	2:11:13	0:34:06	1:13:13	0:23:54
103	橋本 寛	ﾊｼﾓﾄ ﾋﾛｼ	23	58	2:11:55	0:32:37	1:08:23	0:30:55
104	大島 司	ｵｵｼﾏ ﾂｶｻ	107	31	2:12:01	0:31:46	1:08:27	0:31:48
105	脇谷 雄一朗	ﾜｷﾔ ﾕｳｲﾁﾛｳ	43	30	2:12:17	0:20:55	1:20:13	0:31:09
106	小川 訓史	ｵｶﾞﾜ ｻﾄｼ	61	66	2:12:43	0:30:41	1:08:42	0:33:20
107	谷上 逸郎	ﾀﾆｶﾞﾐ ｲﾂﾛｳ	81	52	2:14:12	0:33:23	1:09:53	0:30:56
108	坪井 英樹	ﾂﾎﾞｲ ﾋﾃﾞｷ	25	63	2:14:19	0:32:04	1:10:28	0:31:47
109	東川 純也	ｱｽﾞﾏｶﾞﾜ ｼﾞｭﾝﾔ	77	32	2:14:22	0:32:45	1:08:47	0:32:50
110	門田 邦男	ﾓﾝﾃﾞﾝ ｸﾆｵ	85	61	2:14:37	0:32:49	1:14:29	0:27:19
111	中嶋 好史	ﾅｶｼﾏ ﾖｼﾌﾐ	93	40	2:16:22	0:29:29	1:11:19	0:35:34
112	芳村 茂樹	ﾖｼﾑﾗ ｼｹﾞｷ	16	47	2:17:01	0:36:51	1:06:50	0:33:20
113	中野 航	ﾅｶﾉ ﾜﾀﾙ	84	43	2:17:31	0:23:10	1:07:10	0:47:11
114	清水 聖一	ｼﾐｽﾞ ｾｲｲﾁ	113	63	2:17:50	0:36:26	1:11:46	0:29:38
115	毛利 文恵	ﾓｳﾘ ﾌﾐｴ	194	58	2:18:09	0:40:28	1:09:09	0:28:32
116	福井 岳洋	ﾌｸｲ ﾀｹﾋﾛ	40	40	2:18:31	0:34:08	1:16:15	0:28:08
117	宮本 三貴子	ﾐﾔﾓﾄ ﾐｷｺ	187	51	2:18:38	0:29:49	1:15:02	0:33:47
118	福井 宏昭	ﾌｸｲ ﾋﾛｱｷ	20	60	2:18:50	0:33:34	1:13:37	0:31:39
119	向 敏史	ﾑｶｲ ﾄｼﾌﾐ	68	58	2:18:52	0:30:58	1:09:34	0:38:20
120	田場 靖宏	ﾀﾊﾞ ﾔｽﾋﾛ	96	55	2:19:25	0:33:40	1:09:23	0:36:22
121	佐藤 達也	ｻﾄｳ ﾀﾂﾔ	22	37	2:22:17	0:31:41	1:09:58	0:40:38
122	寺本 卓司	ﾃﾗﾓﾄ ﾀｸｼﾞ	45	67	2:24:21	0:27:28	1:12:48	0:44:05
123	梶浦 新也	ｶｼﾞｳﾗ ｼﾝﾔ	15	49	2:25:18	0:30:38	1:13:44	0:40:56
124	池内 啓哲	ｲｹｳﾁ ﾋﾛｱｷ	38	36	2:25:43	0:34:11	1:20:09	0:31:23
125	垣淵 晃代	ｶｷﾌﾞﾁ ｱｷﾖ	188	29	2:30:47	0:37:37	1:23:04	0:30:06
126	高橋 啓輔	ﾀｶﾊｼ ｹｲｽｹ	87	41	2:34:09	0:34:44	1:17:32	0:41:53
127	木村 修馬	ｷﾑﾗ ｼｭｳﾏ	91	28	2:34:09	0:34:43	1:17:33	0:41:53
128	西井 エイスリン	ﾆｼｲ ｴｲｽﾘﾝ	181	31	2:38:53	0:40:39	1:21:41	0:36:33
