総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
1	1	松丸 真幸	43	男	茨城県	2:04:59	0:21:34	6	1:04:06	1	1:25:40	1	0:39:19	5	1		40-44歳男子	
2	68	駒野 悠太	36	男	神奈川県	2:06:54	0:22:22	9	1:06:08	2	1:28:30	2	0:38:24	1	2		35-39歳男子	
3	34	星 大樹	30	男	千葉県	2:10:18	0:24:09	23	1:06:42	4	1:30:51	7	0:39:27	6	3		30-34歳男子	
4	76	辻 巨樹	38	男	大阪府	2:10:30	0:24:27	28	1:06:53	5	1:31:20	9	0:39:10	4	4		35-39歳男子	
5	64	齋藤 俊介	35	男	宮城県	2:10:43	0:23:28	19	1:08:16	8	1:31:44	10	0:38:59	2	5		35-39歳男子	
6	52	長谷川 綾	33	男	東京都	2:10:51	0:22:00	8	1:06:36	3	1:28:36	3	0:42:15	25	6		30-34歳男子	
7	2	松本 滉平	20	男	茨城県	2:13:01	0:22:25	11	1:10:00	23	1:32:25	12	0:40:36	9	7		24歳以下男子	1
8	66	鮎澤 貴孝	35	男	神奈川県	2:13:41	0:21:19	4	1:08:51	14	1:30:10	4	0:43:31	39	8		35-39歳男子	1
9	4	中山 泰誠	21	男	神奈川県	2:13:58	0:21:41	7	1:08:39	11	1:30:20	6	0:43:38	41	9		24歳以下男子	2
10	106	Millar Neil	43	男	茨城県	2:14:50	0:25:14	37	1:08:04	7	1:33:18	16	0:41:32	17	10		40-44歳男子	1
11	61	竹内 寿史	35	男	東京都	2:14:53	0:19:34	1	1:10:39	31	1:30:13	5	0:44:40	55	11		35-39歳男子	2
12	38	坂田 貴洋	31	男	群馬県	2:15:19	0:20:48	3	1:11:12	34	1:32:00	11	0:43:19	38	12		30-34歳男子	1
13	89	河村 玲	41	男	神奈川県	2:15:32	0:22:24	10	1:10:49	33	1:33:13	15	0:42:19	27	13		40-44歳男子	2
14	92	鬼澤 秀和	42	男	茨城県	2:15:47	0:25:26	39	1:08:27	9	1:33:53	17	0:41:54	23	14		40-44歳男子	3
15	231	田中 毅	55	男	東京都	2:15:55	0:24:34	30	1:10:03	24	1:34:37	21	0:41:18	15	15		55-59歳男子	1
16	146	松崎 充宏	46	男	東京都	2:15:55	0:22:44	16	1:08:31	10	1:31:15	8	0:44:40	56	16		45-49歳男子	1
17	154	吉野 功哉	47	男	埼玉県	2:17:09	0:25:11	35	1:08:44	13	1:33:55	18	0:43:14	36	17		45-49歳男子	2
18	3	岩碕 幹生	21	男	茨城県	2:17:10	0:22:47	17	1:09:39	17	1:32:26	14	0:44:44	59	18		24歳以下男子	3
19	28	田所 隆之	30	男	神奈川県	2:17:16	0:28:03	62	1:08:54	15	1:36:57	28	0:40:19	8	19		30-34歳男子	2
20	150	藤田 光裕	46	男	東京都	2:17:41	0:24:06	22	1:09:59	22	1:34:05	19	0:43:36	40	20		45-49歳男子	3
21	30	高橋 善郎	30	男	東京都	2:17:47	0:26:54	51	1:09:49	21	1:36:43	26	0:41:04	13	21		30-34歳男子	3
22	167	田村 嘉規	49	男	茨城県	2:18:51	0:22:36	13	1:09:49	20	1:32:25	13	0:46:26	76	22		45-49歳男子	4
23	206	篠塚 恭男	52	男	茨城県	2:19:36	0:26:13	45	1:08:40	12	1:34:53	22	0:44:43	57	23		50-54歳男子	1
24	41	佐藤 崇史	31	男	千葉県	2:19:36	0:23:36	20	1:10:32	29	1:34:08	20	0:45:28	69	24		30-34歳男子	4
25	209	影山 昭夫	52	男	茨城県	2:20:29	0:26:54	52	1:10:24	26	1:37:18	30	0:43:11	35	25		50-54歳男子	2
26	123	中野 正紀	45	男	東京都	2:20:36	0:28:19	67	1:12:01	40	1:40:20	44	0:40:16	7	26		45-49歳男子	5
27	134	小暮 恒介	45	男	東京都	2:21:06	0:29:16	83	1:10:45	32	1:40:01	43	0:41:05	14	27		45-49歳男子	6
28	159	小野原 学	48	男	東京都	2:21:22	0:26:47	48	1:11:59	38	1:38:46	35	0:42:36	28	28		45-49歳男子	7
