順位	№ｶｰﾄﾞ	氏名	年齢	地区	SWIM	BIKE	RUN	ﾌｨﾆｯｼｭﾀｲﾑ
71	99	大石 圭	44	明石市	0:22:08	1:03:47	0:27:49	1:53:44
72	37	櫛山 晃央	31	京都市	0:21:32	1:00:50	0:31:25	1:53:47
73	122	天羽 亮太	41	大阪市	0:35:05	0:54:38	0:24:06	1:53:49
74	83	藤田 雅史	48	芦屋市	0:31:07	0:59:19	0:24:35	1:55:01
75	147	塩崎 俊城	50	守口市	0:30:49	1:02:33	0:21:45	1:55:07
76	156	小原 光	67	松阪市	0:27:30	1:01:54	0:25:47	1:55:11
77	65	北川 隆信	32	守山市	0:30:28	1:01:39	0:23:09	1:55:16
78	89	西田 達矢	43	大阪市	0:25:51	1:04:46	0:24:40	1:55:17
79	14	小笹 祐	29	大阪市	0:26:57	1:01:06	0:27:23	1:55:26
80	77	松尾 貴之	43	京都市	0:27:58	1:02:45	0:24:49	1:55:32
81	20	樋口 瞬平	24	福知山市	0:33:59	0:59:06	0:22:37	1:55:42
82	170	松島 弘樹	43	西宮市	0:26:29	1:01:00	0:28:24	1:55:53
83	43	和泉 賢一	32	高槻市	0:21:26	1:05:11	0:29:26	1:56:03
84	166	佐々江 隆之	60	玉野市	0:31:21	1:01:47	0:22:58	1:56:06
85	119	奥山 信次	40	台東区	0:30:39	1:02:32	0:23:21	1:56:32
86	48	穀内 康人	34	大阪市	0:29:28	1:04:01	0:23:07	1:56:36
87	46	磯田 健太郎	34	大阪市	0:26:03	1:02:57	0:27:36	1:56:36
88	155	山北 勝寛	66	倉敷市	0:25:49	1:05:08	0:25:47	1:56:44
89	141	脇 郁夫	56	川辺郡	0:27:55	1:06:20	0:22:34	1:56:49
90	134	野場 尚	57	小野市	0:25:46	1:05:44	0:25:33	1:57:03
91	51	西田 鉄平	36	東大阪市	0:24:28	1:09:14	0:24:05	1:57:47
92	91	加藤 隆之	44	周南市	0:23:19	1:06:44	0:27:55	1:57:58
93	205	平田 倫子	30	大阪市	0:28:42	1:03:28	0:26:30	1:58:40
94	74	宗形 充弘	38	大阪市	0:29:15	1:05:15	0:24:49	1:59:19
95	70	中村 京司	35	吹田市	0:27:53	1:04:05	0:27:28	1:59:26
96	66	奥村 康三	31	名古屋市	0:34:55	0:57:52	0:26:56	1:59:43
97	163	大浦 厚生	63	吹田市	0:27:21	1:04:37	0:27:55	1:59:53
98	16	馬野 雄平	26	宝塚市	0:37:50	1:04:04	0:18:02	1:59:56
99	212	田中 滝恵	43	西宮市	0:28:46	1:04:51	0:26:47	2:00:24
100	85	佐藤 昌臣	41	大阪市	0:30:12	1:00:15	0:30:07	2:00:34
101	125	柴田 敏之	44	堺市	0:24:26	1:04:45	0:31:44	2:00:55
102	113	横谷 竜介	49	葛城市	0:30:38	1:02:48	0:27:40	2:01:06
103	117	原 伸次	40	明石市	0:28:22	1:05:59	0:26:56	2:01:17
104	115	温品 法明	44	周南市	0:28:16	1:07:11	0:26:12	2:01:39
105	126	森 民雄	46	高松市	0:28:41	1:08:24	0:24:48	2:01:53
106	38	柳澤 公紀	31	西宮市	0:24:38	1:06:32	0:30:43	2:01:53
107	76	小村 幸生	40	大阪市	0:28:12	1:03:57	0:29:45	2:01:54
108	69	中野 秀昭	34	観音寺市	0:26:44	1:10:15	0:25:02	2:02:01
109	165	沢田 好章	62	豊中市	0:30:59	1:06:41	0:24:31	2:02:11
110	151	栗本 孝男	61	小松島市	0:26:40	1:08:57	0:26:40	2:02:17
111	92	平井 仁敏	44	高砂市	0:26:28	1:10:38	0:25:28	2:02:34
112	111	田中 耕二	47	赤磐市	0:32:32	1:04:25	0:26:30	2:03:27
113	171	西岡 壮馬	16	鈴鹿市	0:34:05	1:03:03	0:26:39	2:03:47
114	158	松岡 幸男	67	熊本市	0:30:33	1:06:46	0:27:01	2:04:20
115	157	西田 健一郎	69	神戸市	0:27:32	1:09:39	0:27:45	2:04:56
116	30	松下 賢一	37	大阪市	0:29:19	1:10:41	0:25:33	2:05:33
117	152	宮崎 文雄	63	加古川市	0:28:19	1:10:50	0:26:50	2:05:59
118	31	岩田 明	37	天理市	0:35:58	1:04:38	0:25:26	2:06:02
119	130	福井 宏昭	52	大阪市	0:29:49	1:08:23	0:28:14	2:06:26
120	208	早瀬 恵子	37	広島市	0:35:52	1:04:06	0:26:43	2:06:41
121	18	稲葉 達也	28	茨木市	0:42:00	1:00:45	0:24:11	2:06:56
122	169	谷口 博志	64	京都市	0:37:21	1:04:55	0:25:35	2:07:51
123	142	深坂 健太郎	57	和泉市	0:24:18	1:09:29	0:34:28	2:08:15
124	84	尾上 明宏	40	大阪市	0:30:10	1:09:02	0:29:25	2:08:37
125	15	古曽部 和彦	28	倉敷市	0:26:02	1:13:24	0:29:21	2:08:47
126	213	山根 里美	41	堺市	0:37:16	1:04:16	0:27:48	2:09:20
127	53	荒木 政隆	37	倉敷市	0:32:08	1:09:40	0:27:47	2:09:35
128	164	杉本 良太郎	75	大阪市	0:26:28	1:06:36	0:37:03	2:10:07
129	116	高寺 生也	47	神戸市	0:31:57	1:06:17	0:32:14	2:10:28
130	149	住田 和正	56	防府市	0:40:58	1:04:40	0:25:02	2:10:40
131	50	石田 清	36	大阪市	0:32:45	1:08:30	0:29:45	2:11:00
132	203	石本 恵理	25	東大阪市	0:30:02	1:09:54	0:31:31	2:11:27
133	159	宮下 孝司	65	市	0:31:33	1:05:23	0:35:23	2:12:19
134	167	山口 満	60	足立区足	0:28:45	1:12:32	0:31:25	2:12:42
135	145	門場 靖司	58	洲本市	0:35:03	1:07:35	0:30:32	2:13:10
136	71	中崎 一平	36	市	0:39:26	1:04:23	0:30:36	2:14:25
137	95	杉本 太一	45	神戸市	0:30:22	1:15:42	0:29:01	2:15:05
138	148	牧山 誠二	54	吹田市	0:35:33	1:14:47	0:25:15	2:15:35
139	215	谷本 葉子	40	広島市	0:34:45	1:07:51	0:33:05	2:15:41
140	220	多谷 容子	56	豊中市	0:31:53	1:14:23	0:29:39	2:15:55
141	128	中島 健	47	伊丹市	0:31:48	1:10:31	0:34:14	2:16:33
142	8	片上 大輔	26	堺市	0:36:58	1:08:19	0:31:50	2:17:07
143	223	小西 美和	61	小豆郡	0:37:46	1:10:14	0:29:32	2:17:32
144	36	金田 一真	30	高槻市	0:31:04	1:19:23	0:27:12	2:17:39
145	17	百合野 慎	20	広島市	0:37:24	1:07:30	0:33:11	2:18:05
146	98	増田 一成	49	香芝市	0:41:04	1:12:27	0:26:15	2:19:46
147	123	溝辺 穣	41	大阪市	0:37:19	1:09:01	0:33:37	2:19:57
148	146	山下 佳久	56	善通寺市	0:40:28	1:15:01	0:24:51	2:20:20
149	118	高橋 広一郎	40	広島市	0:29:58	1:22:02	0:28:57	2:20:57
150	26	境 奉史	30	大東市	0:48:08	1:09:09	0:23:43	2:21:00
151	217	田中 裕子	51	小野市	0:35:07	1:13:05	0:34:59	2:23:11
152	135	権藤 宏	57	廿日市	0:31:18	1:15:30	0:42:08	2:28:56
153	161	庄村 禎雄	73	津市	0:35:02	1:17:14	0:37:39	2:29:55
154	32	稲村 茂	38	四日市	0:38:24	1:14:37	0:37:56	2:30:57
155	222	青位 美代子	78	加東市	0:36:22	1:17:57	0:39:28	2:33:47
156	162	福原 良介	61	姫路市	0:30:47	1:35:43	0:27:20	2:33:50
157	143	石原 茂	58	たつの市	0:34:50	1:29:44	0:29:36	2:34:10
158	75	山路 芳昌	40	丸亀市	0:41:13	1:26:40	0:30:01	2:37:54
159	219	平岡 玲子	58	日野郡	0:40:26	1:28:23	0:33:01	2:41:50
160	210	高橋 郁子	46	山形市	0:36:13	1:39:16	0:36:04	2:51:33
161	88	朝井 良一	42	大阪市				
162	0:31:44	1:09:52	0:29:31	2:11:07				
163	62	伊藤 英生	39	岡山市				
164	0:32:00	1:12:10	0:30:09	2:14:19				
165								
