総合順位	No	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット通過	ランラップ	R順	男子順位	女子順位
1	4	高橋 悠太	20	男	千葉県	1:50:29	0:04:41	2	1:04:51	1	1:09:32	0:40:57	2	1	
2	9	下村 勇喜	26	男	長野県	1:51:25	0:04:40	1	1:08:29	5	1:13:09	0:38:16	1	2	
3	5	山田 悠翔	21	男	千葉県	1:55:02	0:05:35	7	1:05:24	2	1:10:59	0:44:03	5	3	
4	51	田仲 功一	56	男	千葉県	1:58:12	0:05:43	10	1:08:23	4	1:14:06	0:44:06	6	4	
5	31	蓮沢 秀和	49	男	茨城県	2:01:04	0:05:43	11	1:08:16	3	1:13:59	0:47:05	8	5	
6	47	濱野原 泰喣	55	男	東京都	2:07:32	0:06:16	16	1:13:44	7	1:20:00	0:47:32	9	6	
7	25	山本 誠史	46	男	東京都	2:08:07	0:06:00	14	1:14:20	9	1:20:20	0:47:47	11	7	
8	46	竹形 憲市郎	54	男	千葉県	2:09:10	0:05:29	5	1:16:00	11	1:21:29	0:47:41	10	8	
9	8	嶋崎 司	25	男	埼玉県	2:10:13	0:05:50	12	1:15:06	10	1:20:56	0:49:17	12	9	
10	29	古野 裕太	48	男	神奈川県	2:11:42	0:05:39	8	1:21:31	19	1:27:10	0:44:32	7	10	
11	11	山本 勇	72	女	栃木県	2:22:32	0:28:30	6	1:25:31	56	1:54:01	0:28:30	60		11
12	12	木村 勇	33	男	茨城県	2:31:51	0:30:22	5	1:31:06	24	2:01:28	0:30:22	36	12	
13	13	林 剛	36	男	神奈川県	2:30:55	0:30:11	1	1:30:33	45	2:00:44	0:30:11	9	13	
14	14	木村 直	75	女	東京都	2:32:17	0:30:27	27	1:31:22	6	2:01:49	0:30:27	33		14
15	15	井上 真	26	女	茨城県	2:39:35	0:31:55	47	1:35:45	38	2:07:40	0:31:55	12		15
16	16	林 光	22	女	神奈川県	2:32:59	0:30:35	13	1:31:47	22	2:02:23	0:30:35	43		16
17	17	田中 博	70	女	栃木県	2:58:31	0:35:42	26	1:47:06	57	2:22:48	0:35:42	18		17
18	18	山崎 真	49	女	神奈川県	2:31:54	0:30:22	24	1:31:08	21	2:01:31	0:30:22	45		18
19	19	田中 誠	42	男	東京都	2:37:50	0:31:34	8	1:34:42	46	2:06:16	0:31:34	23	19	
20	20	佐藤 博	33	女	千葉県	2:59:32	0:35:54	35	1:47:43	12	2:23:37	0:35:54	55		20
21	21	井上 雅	49	男	東京都	2:40:34	0:32:06	18	1:36:20	21	2:08:27	0:32:06	27	21	
22	22	中村 剛	31	女	神奈川県	2:48:37	0:33:43	33	1:41:10	29	2:14:53	0:33:43	54		22
